feature_group,signal_strength,feature_count,avg_signal_score,max_signal_score
categorical_absence,moderate,7,0.3652,0.3877
categorical_absence,strong,5,0.4197,0.4423
categorical_absence,weak,3,0.1529,0.1933
count_discrete,strong,4,0.5774,0.7009
count_discrete,very weak,2,0.0792,0.1411
count_discrete,weak,3,0.2594,0.3045
nominal_categorical,moderate,6,0.3796,0.4281
nominal_categorical,strong,4,0.5601,0.7386
nominal_categorical,very weak,8,0.1009,0.1606
nominal_categorical,weak,7,0.2247,0.2938
numeric_continuous,moderate,7,0.4845,0.5754
numeric_continuous,strong,5,0.662,0.7313
numeric_continuous,very weak,9,0.0839,0.1852
numeric_continuous,weak,7,0.2815,0.3538
numeric_zero_absence,moderate,6,0.3096,0.3877
numeric_zero_absence,strong,2,0.4282,0.4423
numeric_zero_absence,very weak,4,0.0822,0.0982
numeric_zero_absence,weak,3,0.1737,0.199
ordinal_categorical,moderate,5,0.3865,0.4422
ordinal_categorical,strong,6,0.6757,0.8272
ordinal_categorical,very weak,7,0.1329,0.1697
ordinal_categorical,weak,3,0.2452,0.2764
time_continuous,moderate,2,0.5843,0.592
time_continuous,strong,1,0.6501,0.6501
time_group,moderate,1,0.4336,0.4336
time_group,very weak,3,0.0515,0.0728
time_group,weak,1,0.2369,0.2369
