feature,train_dtype,test_dtype,dtype_match
Id,int64,int64,True
MSSubClass,object,object,True
MSZoning,object,object,True
LotFrontage,float64,float64,True
LotArea,int64,int64,True
Street,object,object,True
Alley,object,object,True
LotShape,object,object,True
LandContour,object,object,True
Utilities,object,object,True
LotConfig,object,object,True
LandSlope,object,object,True
Neighborhood,object,object,True
Condition1,object,object,True
Condition2,object,object,True
BldgType,object,object,True
HouseStyle,object,object,True
OverallQual,int64,int64,True
OverallCond,int64,int64,True
YearBuilt,int64,int64,True
YearRemodAdd,int64,int64,True
RoofStyle,object,object,True
RoofMatl,object,object,True
Exterior1st,object,object,True
Exterior2nd,object,object,True
MasVnrType,object,object,True
MasVnrArea,float64,float64,True
ExterQual,object,object,True
ExterCond,object,object,True
Foundation,object,object,True
BsmtQual,object,object,True
BsmtCond,object,object,True
BsmtExposure,object,object,True
BsmtFinType1,object,object,True
BsmtFinSF1,int64,float64,False
BsmtFinType2,object,object,True
BsmtFinSF2,int64,float64,False
BsmtUnfSF,int64,float64,False
TotalBsmtSF,int64,float64,False
Heating,object,object,True
HeatingQC,object,object,True
CentralAir,object,object,True
Electrical,object,object,True
1stFlrSF,int64,int64,True
2ndFlrSF,int64,int64,True
LowQualFinSF,int64,int64,True
GrLivArea,int64,int64,True
BsmtFullBath,int64,float64,False
BsmtHalfBath,int64,float64,False
FullBath,int64,int64,True
HalfBath,int64,int64,True
BedroomAbvGr,int64,int64,True
KitchenAbvGr,int64,int64,True
KitchenQual,object,object,True
TotRmsAbvGrd,int64,int64,True
Functional,object,object,True
Fireplaces,int64,int64,True
FireplaceQu,object,object,True
GarageType,object,object,True
GarageYrBlt,float64,float64,True
GarageFinish,object,object,True
GarageCars,int64,float64,False
GarageArea,int64,float64,False
GarageQual,object,object,True
GarageCond,object,object,True
PavedDrive,object,object,True
WoodDeckSF,int64,int64,True
OpenPorchSF,int64,int64,True
EnclosedPorch,int64,int64,True
3SsnPorch,int64,int64,True
ScreenPorch,int64,int64,True
PoolArea,int64,int64,True
PoolQC,object,object,True
Fence,object,object,True
MiscFeature,object,object,True
MiscVal,int64,int64,True
MoSold,int64,int64,True
YrSold,int64,int64,True
SaleType,object,object,True
SaleCondition,object,object,True
