feature,train_unique_after_cleanup,test_unique_after_cleanup,train_missing_after_cleanup,test_missing_after_cleanup
MSZoning,5,5,0,0
Street,2,2,0,0
Alley,3,3,0,0
LotShape,4,4,0,0
LandContour,4,4,0,0
Utilities,2,1,0,0
LotConfig,5,5,0,0
LandSlope,3,3,0,0
Neighborhood,25,25,0,0
Condition1,9,9,0,0
Condition2,8,5,0,0
BldgType,5,5,0,0
HouseStyle,8,7,0,0
RoofStyle,6,6,0,0
RoofMatl,7,4,0,0
Exterior1st,15,13,0,0
Exterior2nd,16,15,0,0
MasVnrType,4,4,0,0
ExterQual,4,4,0,0
ExterCond,5,5,0,0
Foundation,6,6,0,0
BsmtQual,5,5,0,0
BsmtCond,5,5,0,0
BsmtExposure,5,5,0,0
BsmtFinType1,7,7,0,0
BsmtFinType2,7,7,0,0
Heating,6,4,0,0
HeatingQC,5,5,0,0
CentralAir,2,2,0,0
Electrical,5,4,0,0
KitchenQual,4,4,0,0
Functional,7,7,0,0
FireplaceQu,6,6,0,0
GarageType,7,7,0,0
GarageFinish,4,4,0,0
GarageQual,6,5,0,0
GarageCond,6,6,0,0
PavedDrive,3,3,0,0
PoolQC,4,3,0,0
Fence,5,5,0,0
MiscFeature,5,4,0,0
SaleType,9,9,0,0
SaleCondition,6,6,0,0
NeighborhoodPriceTier,4,4,0,0
